Number of point,X,Y
1297,-23.4,-25.81
1298,-26.18,-25.81
1299,-27.74,-24.91
1300,-22.7,-27.75
1301,-21.84,-28.3
1302,-26.06,-21.06
1303,-26.85,-25.01
1304,-29.66,-25.51
1305,-20.42,-25.28
1306,-23.21,-21.67
1307,-28.33,-26.07
1308,-28.74,-28.23
1309,-28.09,-29.37
1310,-23.85,-29.01
1311,-28.42,-26
1312,-20.34,-27.36
1313,-28.48,-21.79
1314,-23.48,-20.31
1315,-20.18,-24.75
1316,-29.32,-23.67
1317,-20.32,-25.16
1318,-28.44,-29.32
1319,-26.99,-22.11
1320,-26.58,-29.38
1321,-24.17,-27.61
1322,-21.66,-26.07
1323,-23.17,-27.22
1324,-22.38,-25.46
1325,-23.35,-28.54
1326,-26.09,-21.45
1327,-27.93,-28.44
1328,-24.46,-28.16
1329,-25.7,-25.21
1330,-27.64,-25.47
1331,-23.19,-22.82
1332,-27.72,-26.06
1333,-24.79,-20.2
1334,-28.54,-27.33
1335,-26.23,-24.74
1336,-24.8,-25.22
1337,-26.29,-28.53
1338,-27.16,-28.32
1339,-29.72,-22.76
1340,-28.4,-20.6
1341,-28.44,-21.39
1342,-26.59,-21.23
1343,-28.27,-20.44
1344,-20.46,-26.56
1345,-25.69,-22.04
1346,-20.12,-27.34
1347,-28.34,-26.15
1348,-20.62,-24.99
1349,-27.96,-20.33
1350,-29.68,-22.74
1351,-29.66,-28.46
1352,-21.19,-27.31
1353,-25.52,-23.49
1354,-29.93,-26.23
1355,-24.03,-23.07
1356,-28.42,-21.05
1357,-27.36,-22.55
1358,-27.22,-20.36
1359,-27,-29.81
1360,-27.22,-28.77
1361,-22.59,-26.47
1362,-21.15,-27.12
1363,-26.23,-25.34
1364,-28.61,-24.19
1365,-27.8,-24.12
1366,-26.9,-24.23
1367,-24.95,-21.36
1368,-26.82,-20.86
1369,-20.54,-25.71
1370,-27.68,-29.77
1371,-29.2,-25.27
1372,-20.71,-24.73
1373,-23.69,-27.27
1374,-25.69,-28.1
1375,-25.24,-26.35
1376,-25.88,-24.95
1377,-25.59,-23.47
1378,-29.88,-27.24
1379,-26.18,-23.45
1380,-21.43,-22.92
1381,-29.34,-29.75
1382,-29.73,-28.58
1383,-23.89,-26.65
1384,-27.76,-22.24
1385,-21.47,-29.27
1386,-23.68,-23.36
1387,-29.51,-29
1388,-24.03,-22.92
1389,-24.98,-20.17
1390,-21.61,-25.14
1391,-21.16,-26.09
1392,-25.13,-28.16
1393,-26.59,-24.69
1394,-29.53,-24.62
1395,-28.64,-25.69
1396,-22.16,-28.1
1397,-28.92,-23.63
1398,-20.5,-29.24
1399,-20.01,-27.54
1400,-27.47,-28.07
1401,-23.48,-21.39
1402,-26.85,-29.18
1403,-20.93,-29.98
1404,-21.71,-24.35
1405,-24.15,-26.78
1406,-20.3,-23.52
1407,-28.39,-26.96
1408,-29.17,-22.51
1409,-21.94,-26.78
1410,-23.19,-26.83
1411,-22.53,-20.14
1412,-27.72,-29.44
1413,-28.43,-22.76
1414,-22.15,-22.42
1415,-26.35,-20.14
1416,-20.91,-25.3
1417,-24.05,-22.38
1418,-24.65,-29.21
1419,-20.82,-28.75
1420,-23.87,-28.51
1421,-25.32,-28.73
1422,-25.65,-22.35
1423,-20.51,-28.28
1424,-24.12,-27.31
1425,-27.09,-26.09
1426,-22.18,-27.7
1427,-28.95,-20.73
1428,-21.5,-28.88
1429,-20.25,-23.31
1430,-21.06,-29.07
1431,-23.06,-28.94
1432,-24.99,-24.09
1433,-26.3,-23.23
1434,-27.47,-26.21
1435,-29.6,-25.2
1436,-21.94,-26.67
1437,-23.66,-25.76
1438,-22.36,-27.85
1439,-28.11,-25.13
1440,-28.81,-21.42
1441,-29.05,-23.84
1442,-27.84,-21.61
1443,-23.38,-24.25
1444,-25.45,-27.15
1445,-24.24,-25.84
1446,-29.27,-29.71
1447,-27.07,-26.66
1448,-26.63,-26.3
1449,-21.83,-22.34
1450,-22.22,-23.57
1451,-29.98,-27.88
1452,-20.72,-24.36
1453,-24.48,-29.82
1454,-20.39,-20.92
1455,-21.85,-29.68
1456,-25.47,-21.85
1457,-21.03,-25.65
1458,-26.59,-20.28
1459,-20.32,-25.37
1460,-23.73,-23.91
1461,-20.75,-28.04
1462,-22.96,-23.31
1463,-20.46,-28.94
1464,-29.65,-22.26
1465,-26.58,-29.11
1466,-29.58,-25.46
1467,-28.53,-21.67
1468,-28.77,-21.85
1469,-23.53,-23.34
1470,-27.19,-20.55
1471,-26.75,-24.13
1472,-22.37,-23.52
1473,-23.54,-25.96
1474,-29.61,-29.57
1475,-22.16,-22.48
1476,-29.15,-27.51
1477,-29.85,-22
1478,-28.96,-22.37
1479,-25.4,-28.38
1480,-23.75,-22.27
1481,-22.29,-22.01
1482,-26.59,-21.42
1483,-24.6,-21.04
1484,-24.41,-23.49
1485,-29.71,-28.28
1486,-26.72,-24.31
1487,-20.21,-26.67
1488,-20.43,-27.98
1489,-25.66,-28.93
1490,-24.12,-24.7
1491,-28.69,-25.16
1492,-26.84,-24.93
1493,-20.57,-24.11
1494,-26.69,-28.56
1495,-25.87,-23.74
1496,-22.86,-22.42
1497,-25.95,-20.87
1498,-25.51,-24.08
1499,-20.58,-21.13
1500,-28.23,-24.47
1501,-26.67,-20.8
1502,-29.99,-21.11
1503,-21.49,-20.86
1504,-28.47,-24.02
1505,-29.26,-20.93
1506,-25.46,-29.03
1507,-26.71,-27.9
1508,-27.56,-23.15
1509,-29.51,-24.74
1510,-25.22,-24.08
1511,-21.87,-23.38
1512,-20.42,-25.96
1513,-25.69,-29.14
1514,-29.87,-22.81
1515,-22.52,-24.31
1516,-25.9,-25.94
1517,-22,-29.25
1518,-25.26,-21.43
1519,-25.45,-21.8
1520,-21.3,-22.57
1521,-25.74,-21.86
1522,-20.48,-28.01
1523,-20.72,-23.13
1524,-29.33,-22.05
1525,-22.74,-28.31
1526,-27.12,-26.13
1527,-24.02,-20.75
1528,-24.34,-27.84
1529,-24.63,-26.4
1530,-25.22,-23.34
1531,-29.76,-29.18
1532,-25.6,-28.72
1533,-20.77,-25.24
1534,-27.84,-24.72
1535,-21.58,-21.99
1536,-23.31,-23.47
1537,-21.96,-21.88
1538,-23.81,-22.95
1539,-25.91,-24.89
1540,-27.12,-29.88
1541,-23.77,-21.9
1542,-26.05,-25.69
1543,-23.45,-26.51
1544,-24.04,-23.08
1545,-21.34,-24.87
1546,-24.66,-27.43
1547,-23.87,-22.57
1548,-25.19,-25.96
1549,-27.02,-26.73
1550,-24.02,-21.08
1551,-21.09,-24.77
1552,-21.61,-20.04
1553,-23.02,-24.85
1554,-28.96,-20.07
1555,-24.85,-22.68
1556,-22.66,-23.18
1557,-29.05,-27.61
1558,-22.82,-20.84
1559,-22.46,-23.82
1560,-21.59,-26.26
1561,-20.74,-20.57
1562,-27.93,-21.8
1563,-25.22,-25.89
1564,-22.57,-22.83
1565,-23.55,-25.96
1566,-26.65,-23.04
1567,-27,-28.37
1568,-23.34,-25.06
1569,-23.66,-21.01
1570,-20.87,-29.5
1571,-22.64,-28.28
1572,-23.49,-27.46
1573,-20.14,-29.94
1574,-20.19,-23.95
1575,-23.42,-27.39
1576,-24.91,-29.56
1577,-23.73,-25.3
1578,-28.69,-23.73
1579,-24.13,-27.89
1580,-26.18,-21.12
1581,-22.12,-22.78
1582,-21.6,-29.47
1583,-21.59,-22.88
1584,-24.74,-26.35
1585,-26.82,-23.06
1586,-26.05,-21.48
1587,-24.89,-29.15
1588,-25.81,-23.16
1589,-25.15,-22.64
1590,-22.21,-23.71
1591,-28.24,-26.39
1592,-24.45,-29.62
1593,-22.33,-28.19
1594,-20.32,-27.99
1595,-29.53,-24.78
1596,-25.66,-24.85
1597,-27.84,-22.96
1598,-29.64,-28.63
1599,-28.41,-27.58
1600,-26.38,-23.01
1601,-22.65,-29.17
1602,-22.95,-21.05
1603,-26.79,-23.14
1604,-23.32,-27.65
1605,-28.17,-21.11
1606,-22.69,-27.18
1607,-23.24,-26.31
1608,-20.19,-24.5
1609,-23.22,-21.98
1610,-21.64,-23.03
1611,-24.74,-27.02
1612,-25.25,-22.42
1613,-28.47,-25.15
1614,-20.04,-22.17
1615,-22.69,-25.66
1616,-28.11,-21.8
1617,-29.8,-26.74
1618,-22.35,-27.4
1619,-29.85,-27.25
1620,-26.53,-23.59
1621,-21.61,-24.42
1622,-21.41,-25.08
1623,-25.67,-28.44
1624,-21.7,-24.81
1625,-21,-22.75
1626,-29.24,-22.88
1627,-20.29,-20.95
1628,-29.16,-24.7
1629,-27,-28.97
1630,-24.7,-20.24
1631,-22.05,-20.33
1632,-29.63,-28.69
1633,-20.58,-23.1
1634,-26.12,-21.99
1635,-20.04,-26.18
1636,-26.59,-20.11
1637,-20.02,-23.81
1638,-22.67,-26.01
1639,-23.34,-29.09
1640,-24.05,-27.78
1641,-24.35,-28.45
1642,-24.06,-23.83
1643,-20.34,-28.34
1644,-23.7,-24.52
1645,-29.72,-21.74
1646,-24.1,-28.25
1647,-29.67,-21.23
1648,-24.17,-22.28
1649,-20.7,-22.69
1650,-22.64,-20.94
1651,-21.16,-21.19
1652,-24.71,-20.61
1653,-23.37,-29.98
1654,-22.93,-25.35
1655,-23.85,-21.7
1656,-22.25,-25.99
1657,-20.97,-26.39
1658,-21.76,-21.04
1659,-28.89,-29.92
1660,-24.82,-22.8
1661,-21.43,-21.15
1662,-28.96,-26.65
1663,-26.18,-29.32
1664,-27.41,-25.56
1665,-29.27,-23.06
1666,-23.91,-24.71
1667,-27.35,-21.87
1668,-25.25,-25.72
1669,-27,-22.24
1670,-25.71,-23.32
1671,-22.53,-20.58
1672,-25.32,-20.67
1673,-26.49,-26.59
1674,-27.05,-22.87
1675,-23.43,-26.29
1676,-27.9,-23.08
1677,-25.67,-29.88
1678,-25.79,-25.69
1679,-21.39,-29.08
1680,-21.48,-20.94
1681,-21.58,-26.79
1682,-22.32,-27.36
1683,-22.84,-26.18
1684,-25.3,-29.05
1685,-23.13,-20.83
1686,-23.49,-20.24
1687,-26,-23.67
1688,-23.39,-24.37
1689,-23.01,-27.7
1690,-25.86,-26.33
1691,-29.03,-29.35
1692,-26.29,-23.33
1693,-29.43,-21.18
1694,-23.39,-23.1
1695,-29.74,-29.45
1696,-25.82,-20.54
1697,-23.68,-28.42
1698,-26.88,-25.53
1699,-22.82,-20.55
1700,-21.42,-21.16
1701,-24.89,-27.12
1702,-22.94,-27.59
1703,-20.77,-27.98
1704,-24.67,-29.74
1705,-24.71,-27.92
1706,-24.61,-20.48
1707,-21.65,-24.2
1708,-24.89,-21.13
1709,-21.87,-24.55
1710,-23.71,-20.04
1711,-27.1,-25.54
1712,-29.31,-27.81
1713,-21.84,-22.86
1714,-23.51,-21.73
1715,-26.29,-29.92
1716,-23.88,-23.29
1717,-29.21,-26.82
1718,-28.35,-23.12
1719,-20.2,-21.55
1720,-24.7,-24.6
1721,-24.67,-20.14
1722,-29.04,-29.93
1723,-29.31,-22.29
1724,-27.01,-21.48
1725,-24.32,-20.79
1726,-28.06,-26.24
1727,-20.68,-29.78
1728,-20.91,-22.62
1729,-22.93,-24.96
1730,-28.77,-26.63
1731,-24.51,-27.86
1732,-28.56,-28.25
1733,-25.85,-28.06
1734,-20.83,-29.93
1735,-26.7,-25.46
1736,-24.77,-22.59
1737,-26.71,-28.48
1738,-27.6,-25.4
1739,-21.72,-25.47
1740,-24.14,-27.51
1741,-29.05,-29.16
1742,-29.23,-27.17
1743,-22.38,-26.91
1744,-23.96,-21.85
1745,-27.08,-25.2
1746,-24.16,-27.99
1747,-27.91,-25.45
1748,-23.01,-26.38
1749,-24.07,-24.34
1750,-29.51,-21.75
1751,-24.15,-23.12
1752,-27.87,-23.31
1753,-23.19,-20.11
1754,-27.78,-26.16
1755,-25.49,-20.22
1756,-21.19,-21.72
1757,-23.22,-26.64
1758,-28.33,-22.81
1759,-22.51,-27.63
1760,-29.39,-29.99
1761,-25.29,-25.04
1762,-21.71,-24.46
1763,-24.41,-22.4
1764,-21.83,-20.32
1765,-25.45,-28.49
1766,-23.53,-27.62
1767,-28.14,-26.88
1768,-22.05,-25.44
1769,-27.57,-24.78
1770,-23.01,-29.89
1771,-21.2,-27.73
1772,-27.37,-27.25
1773,-21.64,-23.23
1774,-29.47,-27.75
1775,-22.36,-25.91
1776,-25.68,-23.69
1777,-29.88,-27.47
1778,-22.6,-20.4
1779,-20.55,-27.82
1780,-22.84,-24.36
1781,-24.26,-20.79
1782,-29.68,-20.89
1783,-27.14,-20.99
1784,-25.75,-21.94
1785,-20.94,-29.23
1786,-27.27,-26.71
1787,-22.41,-23.32
1788,-28.97,-22.13
1789,-29.05,-23.88
1790,-29.75,-29.17
1791,-23.12,-20.08
1792,-22.64,-20.53
1793,-22.86,-20.71
1794,-29.83,-20.22
1795,-23.54,-26.5
1796,-22.19,-22.32
1797,-28.15,-28.22
1798,-26.83,-23.76
1799,-22.73,-27.32
1800,-24.91,-24.68
